Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,1,60,10,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,16.6857206717152,10.865787866137383,0.342078458593017,0.06248373527470863,23.652108530799143,23.39937912978233,-0.12526364324999653,-0.8837731361168877,23.460065686351193,23.142439571831776,0.4136096791228313,-0.7699440116113077,16.524788803751267,10.855277126066856,0.3525402206038686,0.0806307588655687
1,Mirpur 2 BS,38.74267047230243,25.961698288881607,0.45045536530343416,0.1826913516500015,43.97209230332064,36.77923706148258,0.438900261240766,-0.05283727146220607,49.09675754118061,43.53789205884115,0.436519880937055,-0.322833639781257,38.64008011562327,25.983270880536907,0.4515848337507821,0.1870140774843977
2,Mirpur-11 Bus Stand,32.9027209723863,20.3572918889733,0.181437856939347,-0.002504401257654054,38.38435493574431,30.220257626553227,0.16266597923186843,-0.36436682856670455,41.01942371924557,34.40380948595482,0.13758280705604037,-0.5647578645177125,32.90035207047456,20.39100402829108,0.17509424274530355,-0.002360051548460973
3,Proshika More Bus Stop,32.784953026061,19.642350695901357,0.611607874420949,0.36511026298603677,35.00698578469405,27.03224984036615,0.5944110284410828,0.2761332776365911,35.70757031742922,28.047694985923165,0.5715780452573396,0.2375276530579662,32.6784421516274,19.680309101581734,0.613536512094233,0.3692287874605126
4,P.W.D Quarter Mosque,10.836755512723913,3.3134605888362927,0.0347146797775905,-0.03917806766302023,10.70713647168468,1.6851306818090923,0.0493137106238713,-0.014467405201264993,8.124052014189559,1.1573802808508165,0.07441967764307067,-0.010088819831453266,10.862843744147318,3.3437125500540845,0.03514351790485484,-0.04418749144483991
5,Mirpur Benaroshi Polli Gate 1,92.5760422238643,64.39722484799296,0.37828650051461776,0.12985439205458604,120.3151345753292,110.42781336194768,0.36554628685522184,-0.46972213388235273,135.30158874929472,127.26842233698757,0.34843002510095733,-0.957401131538296,92.75734093073774,64.66557952994886,0.372823406575041,0.12644291014684383
6,Paris Road Mor,51.11892702902677,32.823121011732376,0.3496128117682456,0.10528682271208989,59.0614870702647,50.031029879348644,0.34329195779504645,-0.19434316840006516,63.280090615965314,56.768893919724135,0.29346620889775266,-0.5493480780089304,51.13525570982371,33.01477159744258,0.3461873197730683,0.10411514267410327
7,Mirpur College University,40.376919557385214,21.832847333356284,0.37865697948265586,0.11793906814348631,44.21112583804708,32.95166980926487,0.3380804463002331,-0.05753651143258276,44.661351916759486,36.52815751231505,0.3108561678219622,-0.3416122846384311,40.55804639661023,22.01601705008434,0.36845154308193,0.11066983591460455
8,Avenue 5,57.318032443062854,41.012600754955024,0.3665835037414251,0.11740897255657345,62.37796528777433,52.01176258324326,0.3643489382441967,-0.04529619341741298,63.76933130009703,54.366287720943475,0.35115446092231695,-0.15145672195898707,57.360540781479415,41.04139996775172,0.36302524419841264,0.11609938852586321
