Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,1,90,10,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,18.85056436546901,13.555156839176009,0.5545168305384496,0.2956132705436172,23.993137208163724,23.745088967984397,-0.20851126733661232,-0.14113368757286326,22.92921471371688,22.556475808845413,0.5478161360665362,-0.029310040807097648,18.68682596311514,13.474679213782727,0.5631930368906328,0.30779691105020257
1,Mirpur 2 BS,31.268564058878678,19.400094174101298,0.5728569774064143,0.32206582037672415,39.810619973780064,34.507971644659996,0.546123657394337,-0.09892875376855859,55.72618867690306,52.036913249621385,0.5042692686656113,-1.1676497018201712,31.261057499038042,19.471151355844146,0.5726046304488628,0.3223912809659667
2,Mirpur-11 Bus Stand,28.209749456844417,16.541981102588903,0.2714543294009395,0.06013171969542186,38.6260147064519,31.655407153666093,0.21414686892651819,-0.762091019454683,41.882813029598275,36.72667788773801,0.18128255400644638,-1.0754311590376173,28.23570249419487,16.558904462520744,0.2673957846517155,0.05840156202984259
3,Proshika More Bus Stop,24.98444827257147,12.916333155927042,0.5320213570392519,0.2737533612514077,29.97163871540694,24.60474970354438,0.48817212996484965,-0.04511862241881892,33.52251317179617,28.615279456619547,0.4365792861694766,-0.33659052378944887,25.089460035065944,13.022082981853595,0.5263716572767876,0.26763557856739517
4,P.W.D Quarter Mosque,7.069847440420117,1.6356644086979057,0.05788258832851823,-0.009579670741615587,7.1288727079109115,1.4411190987515887,0.06312372012653328,-0.026507749684402393,5.333937911724962,1.2927028881551446,0.06246045429273115,-0.011680402117240973,7.094996637290798,1.6590250215826867,0.04780145884912202,-0.016775095417099317
5,Mirpur Benaroshi Polli Gate 1,96.31484399851685,67.0823385310335,0.39137627270643827,0.1431583277824252,126.14006760800763,115.94492238393788,0.37190543900908496,-0.4696714170802512,136.80809193494693,128.35606938207306,0.36955073129810373,-0.803438503405576,96.32636128334607,67.27203830906392,0.3898705612863483,0.1429533940626062
6,Paris Road Mor,52.96298611953843,29.382965315440348,0.43424081541186743,0.16957963803702425,62.263283078133135,51.30843000884609,0.3886531189985336,-0.1476701784082648,69.99028817474813,62.919056188761274,0.36542438642208075,-0.5922282131918395,52.48233781111819,29.088956911866575,0.4457711104547023,0.1845836639905848
7,Mirpur College University,43.5249855909486,22.985138182701622,0.3961812445933755,0.1451504300524189,54.01219226198792,43.560274990968566,0.2923545671023827,-0.3164247393636035,53.205169092391074,46.03113709118506,0.32569888068647557,-0.5486416558353844,43.268358845159874,22.712676106292964,0.40490351366764954,0.15558257163506806
8,Avenue 5,53.738793036259494,37.723756163679084,0.3079816739659238,0.07444115256998629,65.34378078426899,56.65865766300578,0.26958210127954974,-0.3684745929837665,68.47760939416905,60.806721249608046,0.27911131688605256,-0.5316325533372273,53.70367193367747,37.72557701003334,0.30716263488822004,0.07565055914560914
9,Dhaka WASA (367282274),25.317137754223562,12.961575725755523,0.22851301436545796,0.00545598509945211,40.72264828015331,37.34785116978964,0.19859079108492506,-1.5731602007397893,48.0474141793253,44.053160346586694,0.17741679875162525,-3.945882034780306,24.894506002998476,12.789629002994413,0.2530769239679958,0.038383682280354825
10,Munna vai video games,114.60133323972175,91.18505775077168,0.513813897888258,0.25901833640253547,134.87421572618237,121.31070570409277,0.39685892654525223,-0.026327546471146324,129.06435490120916,117.02676879198843,0.5021518214722817,0.029369570484344742,114.75072040281276,91.12727349877413,0.5117781833763633,0.2570852821902595
11,Udayan School road 14 no,58.282676716919816,37.45789996474516,0.37049401163246587,0.12958080287661855,80.38750716674878,72.39461313682733,0.3562372951859723,-0.6558713999988475,88.48449768141998,81.31667827054454,0.32082472122727296,-1.1067258637151798,58.41657540877953,37.53420489032392,0.3650490490491222,0.12557680452974285
12,Jalladkhana Killing Field,19.66913544367403,12.019623708615786,0.1500400471698321,-0.023363749487232965,23.878135794201008,19.496326586203462,0.09427411619891887,-0.5082048132124639,23.207318248625665,17.81275224261768,0.10854555192307795,-1.0157678271521298,19.47458427583617,11.930925028866811,0.18186439681667843,-0.0032192991243378266
13,rabbani 2 (3734088700),71.71784655293452,47.80176028370829,0.756724355104188,0.5678336878536865,104.6481886998396,92.74335454337576,0.609658151546495,0.0798473942942246,97.36668866648172,88.66418125259248,0.7296209243570632,0.007794899923770138,71.7211146120566,47.69168659162698,0.7612858988655758,0.5766043106418466
14,yummy yummy (3711553347),60.3928314231363,27.996290727605665,0.2612264807403054,0.04852290836614037,124.03557545955303,119.15324243139663,0.23834728958637663,-3.013470596283855,128.63676632895124,123.12114048348349,0.24895138372741335,-3.5885966882537677,60.47192093098523,28.083162150890953,0.2558127371285752,0.04602919752467949
15,kazipara over bridge,189.90260246366915,146.88050533963394,0.5368607786761653,0.28105069089527035,231.10819705321552,202.05246493583377,0.3767415822339653,-0.0647977796132384,226.7188766889668,199.727283024048,0.47316752674647783,-0.024735543242272895,190.48785845365575,147.2029471733289,0.5328480952289218,0.2766124392503593
16,DESCO (367294607),12.627088027809622,6.835096238396247,0.37929296147880553,0.10441627481199012,13.905419935014908,10.33181158569166,0.34484656900664146,-0.08609545000033925,19.512026369448662,18.304513552523307,0.17252908273635886,-2.513549369263648,11.865002683909292,6.49996252350934,0.4605038893928048,0.2013117739606135
17,BRTA building (422163806),63.024457697447204,39.086841507880195,0.24993626255860618,0.04428469047377637,76.242635252468,65.1024615579566,0.24160117585373475,-0.39864051948424817,81.8060068254285,75.57011851619373,0.23052784093783918,-0.7091627106337839,62.975909402943465,39.126347559954944,0.25153497616413095,0.04613996659409336
18,National Bangla High School,27.56578142671128,14.29032800049037,0.6453182543497562,0.40514463297538506,30.552302809769827,23.48628767835041,0.6196713687494733,0.26926708955586276,33.07111606704276,29.07685819102362,0.5428801554569285,-0.24234543329656955,27.51359860458423,14.377444396316307,0.6467253459666396,0.4073946581318326
19,Shiyal Bari More Bus Stop,22.350738606785935,9.783618124165873,0.16559779193117513,0.0017276694131835857,25.497854559366264,15.554013887301133,0.16572240040742983,-0.2991896555789919,24.524620426225205,14.399402215279855,0.17300078520515338,-0.2483602841284649,22.26216056203151,9.779233506580212,0.17650302902506204,0.009624481637483528
20,BRAC Bank(4322832702),28.761902459418657,22.597197886660727,0.2811840740789274,0.054020346972036615,32.44337876406562,29.674705460558346,0.249641480930015,-0.20364587185214234,31.626867755384865,28.563060773847727,0.2159876575541816,-0.14532357813508567,28.72417519174228,22.600831301826187,0.2797072384400486,0.05650042079071027
21,Eye hospital (3740064551),29.138451870280374,19.102107284340782,0.6113143247624194,0.36439899888256777,35.5859861145014,31.468861003883124,0.44456965426400596,0.05199716816711175,32.97333543384492,29.25903498148843,0.5679209916268828,0.055679160839200104,28.387395292730243,18.22587801857738,0.6358935926296065,0.4002997114306872
22,Popular Diagnostic Center(4579879715),74.22197910868783,60.55658966882897,0.4755377988249119,0.2190770437614904,82.87344474952401,73.17662162383436,0.4416395988120783,0.026414916886583817,79.49285721712886,69.87014793692755,0.40286948144952395,0.10430012767408625,74.27007280086839,60.639688650135014,0.47374624075391086,0.2180646849750254
23,Unicare Pharma (3810905497),81.96838317220895,53.69433595051484,0.313959655236927,0.08744703447810664,108.67185508940491,97.64430844581877,0.27850463256278185,-0.6039820539546676,98.08611926022503,87.3792910833039,0.29884613543761823,-0.393954715370503,82.17011924346754,53.71091527071841,0.3072607952136537,0.08294965670876242
24,Senpara Parbata,107.13982699811902,75.1776328911382,0.6903604482867881,0.46964946348874637,213.9081531750792,191.80181244631362,0.42453055664171624,-1.1140526898543799,202.27003365072306,183.2350149513083,0.6257222811214393,-0.9059233902188715,107.41108836804268,75.4518089128253,0.6880632511936247,0.46696053375550783
25,Janata Housing Road (349875110),48.82325170030499,31.16080627482138,0.3235230532582367,0.0879669713195047,65.47820526479862,58.20131478534341,0.2762420448713793,-0.640403544409825,71.69639822916014,64.44562879166888,0.24020985453593657,-1.0001902793072182,48.86889384116503,31.260951593421456,0.31902676629819743,0.08626095642037734
26,22 Borobagh (678085727),74.36971696709494,46.84767228111834,0.49316836439580825,0.23513424258580207,95.54494012796737,82.8495424945459,0.3925634774174537,-0.2624330223024698,99.59645218356776,88.99745282437465,0.46662482800498867,-0.3815630771067451,74.21466072370782,46.77153237223977,0.49554752425527426,0.23832031299080203
27,walton showroom (4597572393),121.54310193594264,97.56395495647611,0.4331785844278011,0.18193631045201009,145.5341585847827,135.6131278489455,0.36609021816768295,-0.1728875150417144,140.7933448716585,132.09030262033963,0.4101146694717902,-0.10537393682391372,121.64791798245687,97.67198819454724,0.4312498665891735,0.18052474248690098
28,Mirpur 14 (4583693489),15.579896452144597,6.039595827168782,0.2836473586289942,0.06682775806075503,19.907978575776802,13.94453906320923,0.256151481062928,-0.5236562848146644,19.37568363768991,13.082096969480455,0.2069417051181209,-0.48077377392422904,15.589193016496653,6.060598862782516,0.2844903348555415,0.06571377323921634
29,Salimullah Homeo Clinic(4331663837),36.53025383750975,24.02095920662014,0.2637685802842252,0.05543038516782828,51.51352364609245,47.16727091459641,0.22952679940390366,-0.8783265889886323,52.50658858511279,47.56083200005528,0.18940916010035758,-1.1577914543623762,36.41219180047102,23.962000450680847,0.2717917221531877,0.061526023390076956
30,9 no. (521883650),37.36136431373079,27.269293464931984,0.24538448395264717,0.044078535509818106,45.36694739181028,41.39450487986965,0.20520919323338987,-0.4094701264241536,40.56996104904977,35.41000260486026,0.22198240636775324,-0.26583512176689195,37.4657396612726,27.454259616066757,0.2381240239521714,0.04085780118486848
