In/Out,Intxn No,Intxn Nm,Incoming/Outgoing Road Segments,,Hexcode,,R,G,B
0,1,Mirpur 10 Circle,"Senpara Parbata(23.80581, 90.36912)-Mirpur 10 Circle(23.80697, 90.36855)",,d2a828,,210,168,40
0,1,Mirpur 10 Circle,"Mirpur 2 BS(23.80511, 90.36343)-Mirpur 10 Circle(23.80713,90.36847)",,8fcc3f,,143,204,63
0,1,Mirpur 10 Circle,"Popular Diagnostic Center(4579879715)(23.8095357, 90.3681201)-Mirpur 10 Circle(23.8072111, 90.3684931)",,75dd20,,117,221,32
0,1,Mirpur 10 Circle,"Dhaka WASA (367282274)(23.80628,90.37466)-Mirpur 10 Circle(23.8072111, 90.3684931)",,e5e1e6,,229,225,230
1,1,Mirpur 10 Circle,"Mirpur 10 Circle(23.80697, 90.36855)-Senpara Parbata(23.80581, 90.36912)",,252420,,37,36,32
1,1,Mirpur 10 Circle,"Mirpur 10 Circle(23.80702, 90.36851)-Main Road(23.8067, 90.36689)",,3f48cc,,63,72,204
1,1,Mirpur 10 Circle,"Mirpur 10 Circle(23.8072111, 90.3684931)-Dhaka WASA (367282274)(23.80628,90.37466)",,e053f3,,224,83,243
1,1,Mirpur 10 Circle,"Mirpur 10 Circle(23.8072111, 90.3684931)-Mirpur Original 10(23.8102909, 90.3675265)",,0d2306,,13,35,6
0,2,Mirpur 2 BS,"Main Road(23.8067, 90.36689)-Mirpur 2 BS(23.80511, 90.36343)",,2cd2b9,,44,210,185
0,2,Mirpur 2 BS,"Proshika Mor(23.8093864, 90.3611359)-Mirpur 2 BS(23.80507,90.36336)",,e117a7,,225,23,167
0,2,Mirpur 2 BS,"walton showroom (4597572393)(23.8037680, 90.3639803)-Mirpur 2 BS(23.80511, 90.36343)",,bab012,,186,176,18
0,2,Mirpur 2 BS,"mirpur college road(23.80339,90.36074)-Mirpur 2 BS(23.80507,90.36336)",,56d22c,,86,210,44
1,2,Mirpur 2 BS,"Mirpur 2 BS(23.80511, 90.36343)-Mirpur 10 Circle(23.80713,90.36847)",,8fcc3f,,143,204,63
1,2,Mirpur 2 BS,"Mirpur 2 BS(23.80511, 90.36343)-walton showroom (4597572393)(23.8037680, 90.3639803)",,e2dea0,,226,222,160
1,2,Mirpur 2 BS,"Mirpur 2 BS(23.80507,90.36336)-mirpur college road(23.80339,90.36074)",,9c9999,,156,153,153
1,2,Mirpur 2 BS,"Mirpur 2 BS(23.80507,90.36336)-National Bangla High School(23.80592, 90.36266)",,488877,,72,136,119
0,3,Mirpur-11 Bus Stand,"Mirpur Original 10(23.8102909, 90.3675265)-Mirpur-11 Bus Stand(23.8156691, 90.3661268)",,b0ea9e,,176,234,158
0,3,Mirpur-11 Bus Stand,"BRAC Bank(4322832702)(23.8164626, 90.3661185)-Mirpur-11 Bus Stand(23.8156691, 90.3661268)",,410a78,,65,10,120
0,3,Mirpur-11 Bus Stand,"Chalantika Mor(23.8149622, 90.3626231)-Mirpur-11 Bus Stand(23.8156691, 90.3661268)",,794050,,121,64,80
1,3,Mirpur-11 Bus Stand,"Mirpur-11 Bus Stand(23.8156691, 90.3661268)-Mirpur 6 Connecting Road(23.81514,90.36330)",,ea9ed4,,234,158,212
1,3,Mirpur-11 Bus Stand,"Mirpur-11 Bus Stand(23.8156691, 90.3661268)-Popular Diagnostic Center(4579879715)(23.8095357, 90.3681201)",,1c0f29,,28,15,41
