Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,1,120,10,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,17.720865504642706,12.413774973764468,0.5748692980640102,0.32298563341373443,23.983945681618025,23.740424833578597,-0.4023927472166719,-0.24013592816971463,22.59586017636656,22.198062016237458,0.5556275237118141,-0.09879151679961229,17.643727926379064,12.405193603393796,0.5789472375375764,0.3288667893608739
1,Mirpur 2 BS,35.509897497571004,22.85890565078649,0.47155385501913033,0.21327467995635774,46.21328814723478,40.699539063655514,0.4612232083242545,-0.33247181405913717,57.731403824422586,53.74148614539448,0.4423399086698948,-1.0884357996074074,35.5056138184391,22.93830776113629,0.47098052779156646,0.2134644791842618
2,Mirpur-11 Bus Stand,30.040489663607723,17.87837649878575,0.20055794240791028,0.024296154383888657,40.619568759191196,33.785509271252415,0.18222270999732865,-0.7839168948681672,43.29100330658018,38.19374012877533,0.162985297248691,-1.0262792822193982,30.036307173478942,17.88187375491058,0.19874319522811001,0.02456782689401904
3,Proshika More Bus Stop,29.92518294837103,16.823708566734812,0.5905443396412426,0.340943939638797,33.077708483051005,24.761317661016953,0.5378085964174658,0.1947707163269521,34.00213711033699,26.023320010173077,0.5140683915501385,0.14439395637384211,29.99921280282937,16.91919782640623,0.5874202183791672,0.3376791192893249
4,P.W.D Quarter Mosque,8.374672668619786,2.101662032233013,0.049648419124574655,-0.013652092812727945,8.367083226055092,1.1845242101566986,0.057846392218444766,-0.011815706179835406,6.7205079496869295,1.263564369520768,0.06918331033345627,0.004045359054952624,8.376668007766295,2.102325247677722,0.05123514358102697,-0.014135173341469853
5,Mirpur Benaroshi Polli Gate 1,88.09891751010639,58.968854313391915,0.3522370549175935,0.11391357831778093,122.34069117779424,113.19760944212544,0.3426375543882029,-0.7087431897687897,139.5029998349748,131.90234635259395,0.3173711715679933,-1.2604213677383123,88.0927455503962,59.02605991984178,0.35133760395900715,0.11403772736027751
6,Paris Road Mor,44.7153479295659,26.472768938211217,0.3345422719386847,0.09957934280152925,59.68990365385403,51.620452559685724,0.3144508962748653,-0.6044787773786289,67.68485557015148,62.59218323406527,0.29078868002842845,-1.194573655517123,44.74315839578675,26.586825853893764,0.3323496517875671,0.09845897109361612
7,Mirpur College University,38.94363993563926,20.460279995729532,0.4322855063106511,0.16845135171059167,53.27226424150686,45.863974359800935,0.3536594194538757,-0.5560261515511224,58.1947849830793,53.776051390087645,0.35980320174688285,-1.192162596341249,38.68138840902738,20.195578807730755,0.4381325514178651,0.17961315530544586
8,Avenue 5,53.807646032426,36.82038174822588,0.35080768292221887,0.11170034775107007,65.05484583464639,55.802095239184546,0.3320954261308986,-0.2984666813027437,70.85156270186985,63.28005674407842,0.3279215798960501,-0.5728174461072777,53.77993326041931,36.85071298215352,0.3507427407611721,0.11261512132660179
9,Dhaka WASA (367282274),34.11999201579316,21.443888833453798,0.31909103141940326,0.08235223797369884,44.44604227235363,38.98310852144669,0.28718172721456514,-0.5571281571568121,52.246404270446405,47.88942469406119,0.2256616984589369,-1.4831487018230907,34.135510098530716,21.51780576070155,0.31625031404040355,0.08151733905814884
10,Munna vai video games,119.11165462296664,94.53202257048503,0.44414849940070483,0.19276889300169964,141.16871844975995,129.7644198225662,0.3778226840855156,-0.13387797207151175,137.95587742919437,127.08882961902606,0.42720433461026563,-0.11028351445311846,119.1823114702326,94.45213601912238,0.44295605582135017,0.19181091248889004
11,Udayan School road 14 no,59.777145484341396,39.37067852567521,0.30863321774260627,0.08307537549112409,84.83139251029456,76.81538514565172,0.29062194075324194,-0.8466155278662515,84.93838165542509,77.74984555952265,0.2959679071803944,-0.8972831307434734,59.872621319490655,39.48217551825461,0.3037237977153319,0.08014401916169855
12,Jalladkhana Killing Field,18.293685739772258,11.006911683045619,0.194837837783931,-0.00916815721987252,22.528059692625934,18.22111337359827,0.15067123491508488,-0.5304131423325018,23.473171653395184,19.66223562720739,0.13125014941733015,-1.1027228306721755,18.123541518812942,10.874538606417772,0.22293700847108586,0.009516502329877996
13,rabbani 2 (3734088700),81.37567320388185,58.60390525803476,0.6822512410624071,0.4560788103054352,91.33383176218963,77.47737301746012,0.6484073482657626,0.3148113733827218,89.70212599259733,78.5128305546602,0.7292973718781678,0.30106117831736023,81.10758618992027,58.01502192592736,0.6846631805020313,0.4606810247011076
14,yummy yummy (3711553347),86.82081493739254,49.8650916390217,0.36595346611963614,0.11408631742891284,130.35322029821032,121.27245046497566,0.36485686307389026,-0.9970421095678312,131.66934839591374,122.4726675724211,0.315037402902754,-1.0828215500369347,86.75185886705695,49.9364125128728,0.3657647919127329,0.11549300467806078
15,kazipara over bridge,201.92567264780914,159.32662579963562,0.44470746156649743,0.18862676762953978,240.51491160214022,213.05327020167243,0.31727715621649094,-0.1511226885496828,235.32721296223218,210.0113808304412,0.377557588509225,-0.10200078084211595,202.0891366995945,159.4766469724827,0.44294514223387804,0.1873125806994238
16,DESCO (367294607),15.75876133907823,9.17055764383122,0.3900919436144934,0.11304844567446715,17.08662867488256,13.597913741600747,0.32485439801072186,-0.04272192502786187,18.715929748936507,17.186122238252327,0.245661793787112,-0.6248409543474509,15.247575407904971,8.806483400617836,0.3935186253648984,0.13627982280380724
17,BRTA building (422163806),54.16054522663715,32.86694489306205,0.2073108287787366,0.027418444815597742,72.99289673387617,63.70123285713545,0.18980335484531258,-0.7665306284019717,87.58976471176857,82.21224842960041,0.12599474736980543,-1.6505760367129367,54.21247140161823,32.89430359618323,0.2078418122684365,0.027327378875859565
18,National Bangla High School,30.026678226939968,15.497454906581478,0.6020762323319918,0.34362147085918726,32.28612877525597,23.27987303513456,0.5652873626379447,0.24112239677137692,34.201366497804806,29.02011504700402,0.522704293829086,-0.12879447834646274,29.381084220305812,15.317455416680787,0.6215126011011386,0.37154321040206906
19,Shiyal Bari More Bus Stop,20.294835750549968,8.129442849032868,0.18028217041082464,0.008139011852213218,23.185183318110116,13.214090694451613,0.17879812629587638,-0.2944962461813301,22.835537445208736,14.009794927021911,0.18095702113270762,-0.2880929321274186,20.121593144985656,8.034113440057457,0.20369152728629816,0.025000362952859234
20,BRAC Bank(4322832702),30.46922178429764,24.360705107233095,0.252047588864055,0.04189350495405919,34.10741773169838,31.6000546414544,0.256875857263574,-0.20057346605940052,34.6821291975784,31.803449974809872,0.2290263449559341,-0.24137376742494832,30.4008105744054,24.35376307309962,0.2546915061612871,0.04619106411612084
21,Eye hospital (3740064551),34.266202763967414,24.875990678816745,0.5141976491607831,0.24610017585135247,36.69944172264987,32.68382959533075,0.5211808832391891,0.13523003640092535,36.81440763688996,32.533159445679196,0.48065182768983467,0.11472845782728824,33.09134042818951,23.693331990669353,0.5520524227676629,0.2969108433989097
22,Popular Diagnostic Center(4579879715),75.65886736281782,62.4069253095987,0.4490989489314564,0.1950703759040272,83.76180177989379,74.85772659727884,0.4316707122436751,0.01342464652164066,80.40068901539557,71.40478958069282,0.39508620525707777,0.09101277143488251,75.6439986560602,62.434851485188474,0.44885701589049753,0.19538671916791583
23,Unicare Pharma (3810905497),76.23832427490801,50.64754780949023,0.2897892359143335,0.07318602796937912,106.99140371827681,96.2817831972866,0.2754573018193274,-0.8253395313974243,108.59011238352794,97.85068908911317,0.22558057632588288,-0.911344116873555,76.30093969952424,50.56803617965753,0.28691038262570445,0.07166299654182773
24,Senpara Parbata,126.88175623188152,88.58526965527746,0.7596707492259874,0.5726649343819434,198.52080054331154,175.31953241055794,0.6846879879414054,-0.046121683540937486,192.97894858050364,171.66343535067838,0.7426193694397814,0.008110476976843417,127.2156580853565,88.90652434211093,0.7580081601188671,0.5704128262232881
25,Janata Housing Road (349875110),52.12334146765305,33.81598666490561,0.20871661674297934,0.02186067838778316,70.15872496888964,62.81066624942274,0.18807508346727703,-0.7721463932387294,69.84189533224037,62.74391570962624,0.1508233437456091,-0.7578106056213207,52.06125137276828,33.81595887078278,0.20862151360151315,0.024189638454335083
26,22 Borobagh (678085727),69.73369846227479,45.461378693268614,0.41467663474951344,0.1599171979471451,98.54252320360658,87.50047525896039,0.2985695079960325,-0.6775831359044147,106.2707830313313,97.59122463141325,0.4097656352907664,-0.9559333477006917,69.49835267808957,45.273143125232714,0.4196208789117039,0.1655780569685874
