Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,1,120,10,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,16.7978491718423,11.075740935214672,0.24019901526311827,-0.014971252792580936,23.195367405752407,22.938912120725117,0.2963424714416993,-0.9353026841372474,23.240372814685074,22.910286346935024,0.2838886430417492,-0.9436171319531903,16.58593661491309,11.00695416461429,0.25833105744326507,0.010475868724849846
1,Mirpur 2 BS,38.83031957753532,25.7187906811542,0.4478649249647769,0.1888137028933058,39.52132857665619,29.92055123422804,0.4481354114411678,0.15968571296183642,42.579410633910705,34.43808023712621,0.42496827446190966,0.023960941007080128,38.914651612088974,25.892680706978823,0.44364634162333,0.18528639345004094
2,Mirpur-11 Bus Stand,34.782490756710814,22.079857789490358,0.13558220090028425,-0.005988856398910114,34.694755325740644,23.153039661542067,0.1367336752305523,-0.0009202400204511019,34.975202416530394,23.120602384247128,0.0820311264198447,-0.017167057424521293,34.79002761565462,22.08031021050656,0.1309643362653966,-0.006424869887236895
3,Proshika More Bus Stop,33.82190507172342,19.847543341017648,0.5960745870749848,0.34561307501398963,36.54242920751886,22.188542742984268,0.5133988785477366,0.23610562979010696,36.62127768023249,22.24955212403593,0.5227778300435653,0.23113462155133713,33.98941975477837,20.030980814880785,0.5903318662879964,0.33911486729072193
4,P.W.D Quarter Mosque,9.038662578523269,2.5987002320285,0.04830158710688288,-0.014694226036766844,9.03654226333012,1.316240027642304,0.05135264612259214,-0.014218222155437221,7.510636734453763,1.0382359528187939,0.08602510455205395,-0.009468732170975214,9.02680048997001,2.5759937928649927,0.05720298205688763,-0.012032660888995572
5,Mirpur Benaroshi Polli Gate 1,87.51824883106944,61.506553054203465,0.377095392602221,0.1356803064466756,96.1402879072876,83.55098961549913,0.37984208833145,-0.04300888215525078,110.65078383799916,102.07104358761282,0.3195016105866287,-0.4155343694869569,87.61321447747407,61.59683301140877,0.37450741281285105,0.13380355017749967
6,Paris Road Mor,48.71842752050867,31.81543253525185,0.3265790526611636,0.09205442356821858,49.559114576497926,37.8779570570765,0.33268808480042106,0.06044897637140956,57.287388074918915,50.375326541843314,0.27321921704725655,-0.306130108875696,48.67993278372336,31.945725913137437,0.3276059750813613,0.0934886783046015
7,Mirpur College University,42.05983947721147,23.00250538176179,0.28273878955737314,0.03988428479490369,40.706634360938864,23.93692952014213,0.33092413633795675,0.10067068719463557,40.444081981254676,28.43130258824572,0.3014542436652726,0.025461257337522802,41.94105704513729,23.019048085536564,0.28286649293228355,0.0452996093604513
8,Avenue 5,58.608303061963994,41.87115969840046,0.3147167524151968,0.08378598953576266,59.53530879911571,47.76545629010866,0.3272969787988486,0.0545733163345421,62.87833909771054,52.99332656915473,0.30279774304935037,-0.06751795751894107,58.5156420252242,41.874128304392016,0.31653502335106964,0.08668080898479524
9,Dhaka WASA (367282274),42.16667633111886,30.037075091560336,0.2503748543875392,0.03293509501145375,42.34019311753094,31.603344262271072,0.16074849999536653,0.02495973325108214,41.71470254356591,31.189280446019726,0.16859321323630058,0.02035562481515596,42.2492708469545,30.197251828499294,0.24227947376082096,0.029142883154750665
10,Munna vai video games,131.38275191741855,110.20291528844658,0.3545289910280077,0.11685199209720443,137.42860532614583,123.51888787458499,0.3327581999910148,0.03370203842933739,137.32567646363674,123.84713772968806,0.3696160591620392,0.021537148116350657,131.45369393836236,110.12224888222367,0.35341530157972,0.11589799747358087
11,Udayan School road 14 no,66.63145696430915,46.52185127936183,0.23515143090179993,0.0379314244815363,69.58741731718979,57.03014510812007,0.2406265770689058,-0.049322164890772235,68.8114145312154,56.48950823233368,0.24118589304359397,-0.03438917587575441,66.69990250872347,46.61319513893879,0.23017392708020537,0.03595388619955919
12,Jalladkhana Killing Field,16.436660586306893,11.035649609481558,0.10500953723250692,-0.05104019068185783,17.498989219865727,15.022660888569673,0.12560235112793347,-0.19129159096633286,18.306788742690717,16.199341413282117,0.08829001692908166,-0.42019324397919045,16.4654921083723,11.149619396340738,0.09216785316553135,-0.05473068068028142
