Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,1,60,10,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,16.683871561771827,10.854002446529154,0.288678965150282,0.017291616282080646,23.473543396058695,23.23090725083492,0.2657664446051128,-0.9453076310935227,23.156865021618973,22.834574157704573,0.41342391987259247,-0.728580575449008,16.475299730408064,10.793974433853958,0.30421191316061685,0.04170850411597682
1,Mirpur 2 BS,38.15141736234958,24.738552921524775,0.47770151311945996,0.212628122149635,38.17142829085634,27.89358050628746,0.4804342207523181,0.21180193137755132,40.87249808402442,32.728711102763945,0.4619004597876304,0.08741486268606202,37.93542566674247,24.724316757103267,0.4833512027076954,0.2215181918068163
2,Mirpur-11 Bus Stand,34.65603292884099,21.757352622911917,0.16646477314533917,-0.01427998164443589,34.36094278744098,22.520596000859612,0.17449057698724837,0.0029193188499017086,34.548354347340286,22.63241628787701,0.10889485643009125,-0.011593286781533596,34.59722680293026,21.73535919066895,0.16319094180697188,-0.010840737957904967
3,Proshika More Bus Stop,32.568112226865814,18.817192193794735,0.6363722111310496,0.39591060050857707,36.14284890691019,21.2997694672342,0.5417191491162059,0.25602077671789913,36.069139105854475,21.30508120321289,0.5416387745059782,0.24694028082950747,32.295714782234334,18.743512386597708,0.6421389872600323,0.40597346538141277
4,P.W.D Quarter Mosque,10.269277614335609,3.4961272069715648,0.030197394703244524,-0.04348891208183092,10.151008826872092,1.6063243871536501,0.04210905275571695,-0.019592096956389193,7.6797420377827645,1.0872305373179467,0.072097427607845,-0.01138854844946735,10.358751896648222,3.541626706387347,0.03027944252058795,-0.061751571384757176
5,Mirpur Benaroshi Polli Gate 1,87.59172425484982,61.174944038813585,0.3903561799737685,0.14270403069625304,96.04744664829389,83.57744728897853,0.38768042953441945,-0.03080443539651001,108.04033214962641,99.3615137206443,0.3306099443834847,-0.37499448599133167,87.52252902531858,61.32444170957477,0.39028248010900973,0.1440579796205389
6,Paris Road Mor,49.65576000700388,32.526111894219525,0.351187678081076,0.10534628776023847,50.01725289058312,38.55120548042942,0.35854962692884046,0.09227275257968581,55.086884244614886,47.62090898414256,0.2933096978295752,-0.21488211419547065,49.49201400666467,32.68514933788394,0.3542912206887262,0.10995692435717408
7,Mirpur College University,43.272867435915806,24.01969967285547,0.3673443865593929,0.09903452229898047,42.47053231476267,24.945677391699903,0.3773002326975341,0.13213492706877628,39.72735488370498,26.26194566616976,0.3162734347533166,0.05000118856716684,43.58116456565357,24.395868989009465,0.3509481597530852,0.08615095092601843
8,Avenue 5,58.310794895251284,41.63464331719485,0.344451015458164,0.09767250027365171,58.82776524924485,46.876192207865785,0.3485956069104061,0.0816019114298,60.93986494576444,50.43904288465145,0.3110641887616531,-0.019878795358835077,58.51301184775431,41.784665225826565,0.3346352777004099,0.09140325610569822
9,Dhaka WASA (367282274),41.87946549499343,29.531484290316968,0.31141505801228,0.06694982258272164,42.59201287498529,30.095584342191188,0.21833342251686297,0.03492943517831304,41.06976375493085,30.066469195072376,0.20617295711024153,0.03480272973441412,41.92463654105726,29.761090935613282,0.3042972656039829,0.06493596773667898
10,Munna vai video games,130.99696476634688,109.29661777814874,0.36466301215473057,0.12296873731250724,137.84792274659128,123.87034041424752,0.32115550094798684,0.02883491483841183,137.32245453871286,123.94720401123313,0.37139341148020816,0.021583060824716616,131.0196890592234,109.40440035710158,0.36378077985961316,0.12266443035469488
11,Udayan School road 14 no,66.09441593089691,46.31423414652514,0.2826799149347238,0.06239411990701327,67.97242630822207,54.15776712477357,0.2680417227938161,0.008354765489618443,68.00759372459588,55.14090722563272,0.2488556736182614,-0.017746364503653966,66.18835624309283,46.45813105304001,0.27563345116994414,0.05972697832183438
